No.,Time,Source,Destination,Protocol,Length,Info
214,247.003272,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
215,247.13,::20c:c:c:c,::201:1:1:1,UDP,53,8214  >  8214 Len=4
216,247.132728,,00:0c:00:0c:00:0c:00:0c,IEEE 802.15.4,19,"Ack, Dst: BebIndus_0c:00:0c:00:0c"
217,247.26,::20c:c:c:c,::201:1:1:1,UDP,62,8214  >  8214 Len=4
218,247.263016,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
219,247.38,fe80::20b:b:b:b,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
220,247.4,::20c:c:c:c,::201:1:1:1,UDP,54,8214  >  8214 Len=4
221,247.40276,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
222,247.94,::201:1:1:1,::204:4:4:4,UDP,45,8214  >  8214 Len=4
223,247.942472,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
224,247.96,00:02:00:02:00:02:00:02,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: NetSys_02:00:02:00:02"
225,247.99,00:05:00:05:00:05:00:05,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Cisco_05:00:05:00:05"
226,248.01,00:07:00:07:00:07:00:07,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Zettamed_07:00:07:00:07"
227,248.02,00:08:00:08:00:08:00:08,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Multitec_08:00:08:00:08"
228,248.07,00:0d:00:0d:00:0d:00:0d,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: SeawayNe_0d:00:0d:00:0d"
229,248.08,::204:4:4:4,::201:1:1:1,UDP,45,8214  >  8214 Len=4
230,248.082472,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
231,248.1,00:10:00:10:00:10:00:10,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: CableTel_10:00:10:00:10"
232,248.95,::201:1:1:1,::206:6:6:6,UDP,53,8214  >  8214 Len=4
233,248.952728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
234,248.98,::201:1:1:1,::206:6:6:6,UDP,62,8214  >  8214 Len=4
235,248.983016,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
236,249.12,::206:6:6:6,::201:1:1:1,UDP,53,8214  >  8214 Len=4
237,249.122728,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
238,249.27,::206:6:6:6,::201:1:1:1,UDP,54,8214  >  8214 Len=4
239,249.27276,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
240,249.99,::201:1:1:1,::205:5:5:5,UDP,45,8214  >  8214 Len=4
